n1,n2,theta_in,theta_out_theory,snell_ratio
1.0,1.3,0,0.0,1.0
1.0,1.3,15,11.483841738259933,0.7692307692307692
1.0,1.3,30,22.619864948040423,0.7692307692307692
1.0,1.3,45,32.95145732787554,0.769230769230769
1.0,1.5,0,0.0,1.0
1.0,1.5,15,9.935883740482241,0.6666666666666666
1.0,1.5,30,19.471220634490688,0.6666666666666666
1.0,1.5,45,28.125505702055705,0.6666666666666666
1.0,1.7,0,0.0,1.0
1.0,1.7,15,8.757136866639168,0.5882352941176471
1.0,1.7,30,17.104635176643797,0.5882352941176471
1.0,1.7,45,24.57885216178196,0.5882352941176471
