rotation_angle_deg,phase_shift_rad,expected_shift_rad,deviation
0,2.7626589002131875e-07,0.0,2.7626589002131875e-07
15,-1.854628078806505e-06,0.0,1.854628078806505e-06
30,6.239011113263563e-07,0.0,6.239011113263563e-07
45,1.1453112895720901e-06,0.0,1.1453112895720901e-06
60,1.0371904682278827e-06,0.0,1.0371904682278827e-06
75,1.8866389297816076e-06,0.0,1.8866389297816076e-06
90,-1.1169829012876615e-07,0.0,1.1169829012876615e-07
105,-3.621013383990484e-07,0.0,3.621013383990484e-07
120,1.4867504504524392e-07,0.0,1.4867504504524392e-07
135,-4.377831525146323e-07,0.0,4.377831525146323e-07
150,2.1712569975066426e-06,0.0,2.1712569975066426e-06
165,1.1523102506236541e-06,0.0,1.1523102506236541e-06
180,-1.818812339302829e-06,0.0,1.818812339302829e-06
