alpha,impact_parameter_m,deflection_angle_rad,deflection_angle_arcsec,n_at_closest_approach,effective_mass_kg,effective_mass_solar
0.1,0.5,0.16,33002.4,1.08,2.693181843000218e+25,1.354038131221829e-05
0.1,0.7777777777777778,0.12461538461538461,25703.792307692307,1.0623076923076924,3.262893386711802e+25,1.640469274364908e-05
0.1,1.0555555555555556,0.0945985401459854,19512.36788321168,1.0472992700729926,3.3615627383433375e+25,1.6900767915250567e-05
0.1,1.3333333333333335,0.072,14851.079999999998,1.036,3.2318182116002614e+25,1.624845757466195e-05
0.1,1.6111111111111112,0.05562231759656652,11472.937339055794,1.0278111587982832,3.016826012974493e+25,1.5167551598665124e-05
0.1,1.8888888888888888,0.04378378378378379,9031.062162162163,1.021891891891892,2.7841677160745495e+25,1.3997826626820259e-05
0.1,2.166666666666667,0.03512195121951219,7244.4292682926825,1.0175609756097561,2.561807118951427e+25,1.2879874906744229e-05
0.1,2.4444444444444446,0.028672566371681415,5914.146902654867,1.0143362831858407,2.359513296079837e+25,1.186281194610275e-05
0.1,2.7222222222222223,0.02377981651376147,4904.94385321101,1.0118899082568806,2.179253564702929e+25,1.0956528731538105e-05
0.1,3.0,0.02,4125.3,1.01,2.0198863822501634e+25,1.0155285984163719e-05
0.3,0.5,0.48,99007.2,1.24,8.079545529000652e+25,4.062114393665486e-05
0.3,0.7777777777777778,0.37384615384615383,77111.37692307692,1.186923076923077,9.788680160135407e+25,4.9214078230947247e-05
0.3,1.0555555555555556,0.28379562043795614,58537.10364963502,1.141897810218978,1.008468821503001e+26,5.0702303745751685e-05
0.3,1.3333333333333335,0.21599999999999997,44553.23999999999,1.108,9.695454634800784e+25,4.8745372723985846e-05
0.3,1.6111111111111112,0.16686695278969957,34418.81201716738,1.0834334763948499,9.050478038923478e+25,4.550265479599537e-05
0.3,1.8888888888888888,0.13135135135135134,27093.186486486484,1.0656756756756756,8.352503148223646e+25,4.199347988046077e-05
0.3,2.166666666666667,0.10536585365853657,21733.287804878044,1.0526829268292683,7.6854213568542805e+25,3.8639624720232685e-05
0.3,2.4444444444444446,0.08601769911504424,17742.4407079646,1.043008849557522,7.07853988823951e+25,3.558843583830825e-05
0.3,2.7222222222222223,0.0713394495412844,14714.831559633029,1.0356697247706421,6.537760694108786e+25,3.286958619461431e-05
0.3,3.0,0.06,12375.9,1.03,6.05965914675049e+25,3.0465857952491153e-05
