theta_a_deg,theta_b_deg,theta_diff_deg,correlation,correlation_std,n_trials
0.0,0.0,0.0,-1.0028913506679118,0.0547005814571924,100
0.0,5.0,-5.0,-0.9962835735961708,0.05684434634475335,100
0.0,10.0,-10.0,-0.9799902409129464,0.05845538575511505,100
0.0,15.0,-15.0,-0.9390579352297663,0.05788938839783041,100
0.0,20.0,-20.0,-0.8866210571413217,0.056038971832065125,100
0.0,25.0,-25.0,-0.8222586099035124,0.05616468323460789,100
0.0,30.0,-30.0,-0.7492543392575495,0.053370513078783516,100
0.0,35.0,-35.0,-0.6813266834834324,0.05680736127944081,100
0.0,40.0,-40.0,-0.5816918294101293,0.05710448264566787,100
0.0,45.0,-45.0,-0.4945347687029022,0.05926502061253014,100
0.0,50.0,-50.0,-0.42318446338293003,0.06026210871639976,100
0.0,55.0,-55.0,-0.32383457646947506,0.05649988303790597,100
0.0,60.0,-60.0,-0.25297114054979447,0.054829383500659024,100
0.0,65.0,-65.0,-0.18142614923349346,0.0548774558513226,100
0.0,70.0,-70.0,-0.11624604874092753,0.05356009448581666,100
0.0,75.0,-75.0,-0.060792008374249216,0.06058995128790776,100
0.0,80.0,-80.0,-0.046379975808248174,0.05679251496211521,100
0.0,85.0,-85.0,-0.004985387219756327,0.051039177635925824,100
0.0,90.0,-90.0,0.00041942230496343636,0.057803162462452824,100
5.0,0.0,5.0,-0.9964260485405922,0.05127425711798558,100
5.0,5.0,0.0,-1.0076165746497492,0.05588623126936841,100
5.0,10.0,-5.0,-0.9877624343938778,0.05875692073587263,100
5.0,15.0,-10.0,-0.9721827710406943,0.059162572369683995,100
5.0,20.0,-15.0,-0.9355118482163661,0.052354165284864924,100
5.0,25.0,-20.0,-0.8910332405848983,0.05887071387212057,100
5.0,30.0,-25.0,-0.8230724301776497,0.06070544061452725,100
5.0,35.0,-30.0,-0.7501637510908741,0.05801196520569166,100
5.0,40.0,-35.0,-0.6770768370619173,0.05287349262146847,100
5.0,45.0,-40.0,-0.5880620366916349,0.0613955602158996,100
5.0,50.0,-45.0,-0.4976311963274881,0.06035953619571948,100
5.0,55.0,-50.0,-0.4070784972440164,0.05665663820688508,100
5.0,60.0,-55.0,-0.3427278755842053,0.05473261827892701,100
5.0,65.0,-60.0,-0.2518837959344037,0.05676999695728972,100
5.0,70.0,-65.0,-0.17683087433584066,0.05770843074501603,100
5.0,75.0,-70.0,-0.10909213111493131,0.05828058577343524,100
5.0,80.0,-75.0,-0.06349027115134037,0.057948705643330385,100
5.0,85.0,-80.0,-0.030741249796207654,0.05892448315789152,100
5.0,90.0,-85.0,-0.005330301332051891,0.05691996557056208,100
10.0,0.0,10.0,-0.9714951309405521,0.051753818223446706,100
10.0,5.0,5.0,-0.990409534951757,0.060625797287532354,100
10.0,10.0,0.0,-1.0008419188855104,0.05792415785522692,100
10.0,15.0,-5.0,-1.0053273511182004,0.057738421571957244,100
10.0,20.0,-10.0,-0.9729117252917463,0.06237737786452305,100
10.0,25.0,-15.0,-0.9354878613339228,0.060942893441857826,100
10.0,30.0,-20.0,-0.8818620319224791,0.05827354616854566,100
10.0,35.0,-25.0,-0.8251936238821966,0.05350659779887151,100
10.0,40.0,-30.0,-0.7559399015859499,0.05511474686079692,100
10.0,45.0,-35.0,-0.6795796735215224,0.05654909413215656,100
10.0,50.0,-40.0,-0.5890633321139749,0.05961735587222915,100
10.0,55.0,-45.0,-0.4969724286534827,0.05341243438224552,100
10.0,60.0,-50.0,-0.4128638549785957,0.05812255983111319,100
10.0,65.0,-55.0,-0.32141042623764143,0.060597904626439415,100
10.0,70.0,-60.0,-0.25358799780448893,0.056433821699725585,100
10.0,75.0,-65.0,-0.17855112523458522,0.05728147484221044,100
10.0,80.0,-70.0,-0.11043666989737994,0.05541498090345813,100
