A_changes,B_drives,"corr(dA/dt, B)",best_lag,effect_type,corr_pair_with_CCI,corr_pair_with_Openness,corr_pair_with_Coherence,corr_pair_with_NegEntropy
Agape,Agape,-0.9997546895591016,-15,catalytic (lag=-15),0.7141784947808979,-0.9918020839314212,-0.9822990262079129,-0.5187555852828559
Agape,Eros,-0.9249666744582719,20,catalytic (lag=20),0.603144503375249,-0.9657895174778272,-0.9864381431511151,-0.6441368279536455
Agape,Philia,-0.9919659261057535,-20,catalytic (lag=-20),0.6695999445976963,-0.9852463762754259,-0.9873736993121159,-0.5766327387716076
Agape,Pragma,-0.9706110486420938,-20,catalytic (lag=-20),0.6613720705029313,-0.9835914372961629,-0.9883900477507438,-0.5862487935687255
Agape,Storge,-0.978493133324024,0,destructive (-),0.6475787189768824,-0.9802740418379701,-0.9883905845349595,-0.6010404861647471
Agape,Ludus,0.9249666744582721,20,catalytic (lag=20),0.6036787942789253,-0.9647414283250885,-0.986820705403715,-0.6423861235515446
Agape,Joy,0.987015214171918,20,catalytic (lag=20),0.616988486360877,-0.970663721884236,-0.9872058282619229,-0.6321069559650416
Agape,Gratitude,0.7467705642597431,20,catalytic (lag=20),0.9764843247761416,-0.8397332106183115,-0.7699807129565144,0.05250354143951782
Agape,Curiosity,0.9744798588143354,5,catalytic (lag=5),0.5868965835498468,-0.9601218285115584,-0.9829819617452865,-0.6599144593605119
Agape,Anger,-0.9249666744582732,20,catalytic (lag=20),0.6022804931889784,-0.9664690095088593,-0.9855574555393483,-0.6457297397735111
Agape,Fear,-0.9988900579857761,-6,catalytic (lag=-6),0.7209081769922535,-0.9948736107757669,-0.9901307866103343,-0.5091776393123941
Agape,Sadness,0.7040295836520118,20,catalytic (lag=20),0.7423797615559723,-0.989799839998708,-0.9878844306095749,-0.4960992924652192
Agape,Awe,0.9917158317146118,20,catalytic (lag=20),0.6588241363622749,-0.9812592570519405,-0.9823640817733355,-0.587956602166151
Agape,Compassion,0.7310419661801848,20,catalytic (lag=20),0.9740898686932953,-0.8546992102270312,-0.7864228740444206,0.025167961608107473
Agape,Hope,0.9644291563501642,20,catalytic (lag=20),0.6421759249452096,-0.9784306562245644,-0.9892779966983607,-0.6072243978161781
Agape,Openness,0.979894188155755,-20,catalytic (lag=-20),0.47925570217284263,-0.9034956687789096,-0.9524466233323484,-0.7298710236065098
Agape,Coherence,0.9897684931007095,-19,catalytic (lag=-19),0.1788006606141962,-0.6875337109923109,-0.7769012357567143,-0.8443769231687593
Agape,Entropy,-0.7976249547578929,20,catalytic (lag=20),0.4505567917450863,-0.9013278298474441,-0.9446088656401109,-0.7737817054572853
Eros,Agape,-0.9198335602512435,-20,catalytic (lag=-20),0.603144503375249,-0.9657895174778272,-0.9864381431511151,-0.6441368279536455
Eros,Eros,-0.9986544350678765,-20,catalytic (lag=-20),0.1979241104176304,-0.7547111168210876,-0.8269040354121956,-0.9098019454526222
Eros,Philia,-0.8900572072158688,20,catalytic (lag=20),0.5650953516609906,-0.9538895850436153,-0.9727200312641882,-0.6802398655426269
Eros,Pragma,-0.7967065639392519,-20,catalytic (lag=-20),0.5693426203428822,-0.9550954595394889,-0.9717482892498538,-0.6733954801654934
Eros,Storge,-0.9915797418131731,20,catalytic (lag=20),0.40163572208622494,-0.8767309215146478,-0.9244291520372148,-0.8060605567835589
Eros,Ludus,0.9986544350678769,-20,catalytic (lag=-20),0.08354583528899845,-0.6759878024825346,-0.7589194691775053,-0.9494760907339905
