condition_id,n_agents,epochs,openness,kE,kI,null_shuffle,seed,stability_cci_mean,stability_hazard_mean,stability_cci_slope,auh_590_610
1,150,800,0.005,1.0,1.0,False,1,0.47123981692535294,0.15844018189540063,0.0002200280153235106,2.8729453303980628
2,150,800,0.005,1.0,1.1,False,1,0.47134379877190985,0.1583958078806181,0.00022218717114255463,2.872806557053426
3,150,800,0.005,1.0,1.2,False,1,0.4714348902305352,0.15835749871779614,0.00022411274075422117,2.8727202578191995
4,150,800,0.005,1.0,1.25,False,1,0.4714764648995117,0.15834012434636993,0.00022499153868484013,2.8726890901527335
5,150,800,0.005,1.0,1.3,False,1,0.4715156280965365,0.15832375585469124,0.0002258140599443882,2.8726633626134457
6,150,800,0.005,1.0,1.35,False,1,0.4822914009303733,0.15697499912670038,0.00021822222942012245,2.848053343927163
7,150,800,0.005,1.0,1.4,False,1,0.4823314045418083,0.15695983486588772,0.00021906509557615607,2.8480349438113803
8,150,800,0.005,1.0,1.45,False,1,0.48236941410468465,0.15694543022904836,0.000219856960750687,2.848018998035568
9,150,800,0.005,1.0,1.5,False,1,0.48240569226966595,0.1569317150816451,0.0002206044190793889,2.848004945194521
10,150,800,0.005,1.0,1.55,False,1,0.4824403546886609,0.15691863574897388,0.00022130972420990132,2.8479923613643208
11,150,800,0.005,1.0,1.6,False,1,0.4824732080991912,0.1569061570517743,0.0002219665923472487,2.847980925940384
12,150,800,0.005,1.0,1.65,False,1,0.48247522873657805,0.15685352356034582,0.00022303526800926176,2.847199794425074
13,150,800,0.005,1.0,1.7,False,1,0.4886383153040136,0.1558497074417384,0.00022376270893956254,2.8279905623604287
14,150,800,0.006,1.0,1.0,False,1,0.47136589655245925,0.15842260233408406,0.00022002635786875382,2.872628691478269
15,150,800,0.006,1.0,1.1,False,1,0.4714698309071429,0.15837824819624194,0.0002221851155067012,2.8724904818759263
16,150,800,0.006,1.0,1.2,False,1,0.471560884710244,0.15833995153998515,0.00022411001872442934,2.8724045243953036
17,150,800,0.006,1.0,1.25,False,1,0.47160244492938014,0.1583225816993666,0.00022498845975228124,2.872373473160507
18,150,800,0.006,1.0,1.3,False,1,0.47164159130537325,0.15830621722186008,0.0002258105022624407,2.8723478360779193
19,150,800,0.006,1.0,1.35,False,1,0.4824174956103122,0.15695744408453108,0.00021821802426002197,2.847737861920786
20,150,800,0.006,1.0,1.4,False,1,0.48245748247965436,0.15694228308988056,0.00021906028974079346,2.847719517062878
21,150,800,0.006,1.0,1.45,False,1,0.48249547886335514,0.15692788128888374,0.00021985163302596245,2.8477036137611567
22,150,800,0.006,1.0,1.5,False,1,0.482531744714514,0.1569141687681577,0.00022059856600912904,2.847689593353377
23,150,800,0.006,1.0,1.55,False,1,0.48256639034786103,0.15690109216821196,0.00022130319965409646,2.847677034092885
24,150,800,0.006,1.0,1.6,False,1,0.4825992295775776,0.15688861595157064,0.00022195948140569765,2.8476656170584693
25,150,800,0.006,1.0,1.65,False,1,0.4826012426231164,0.15683598473237217,0.00022302759388968436,2.8468844983589743
26,150,800,0.006,1.0,1.7,False,1,0.4887644969260242,0.15583215491176441,0.00022375562491301165,2.82767526620438
27,150,800,0.007,1.0,1.0,False,1,0.4714919777682839,0.15840502338738097,0.00022002464900759493,2.8723120607855237
28,150,800,0.007,1.0,1.1,False,1,0.47159586494772404,0.15836068901701417,0.00022218300376335265,2.872174412034757
29,150,800,0.007,1.0,1.2,False,1,0.4716868818855494,0.15832240479022427,0.00022410723106026738,2.8720887942777207
30,150,800,0.007,1.0,1.25,False,1,0.47172842748321975,0.15830503946026148,0.00022498531693926374,2.872057858811553
31,150,800,0.007,1.0,1.3,False,1,0.47176755676382476,0.15828867898314675,0.00022580688394698088,2.8720323116703566
32,150,800,0.007,1.0,1.35,False,1,0.482543590209556,0.15693988947722265,0.00021821377928612457,2.847422382052557
33,150,800,0.007,1.0,1.4,False,1,0.4825835605539913,0.15692473173455487,0.00021905544175599968,2.8474040920313444
34,150,800,0.007,1.0,1.45,False,1,0.48262154393689466,0.15691033275844707,0.0002198462610895242,2.8473882308599907
35,150,800,0.007,1.0,1.5,False,1,0.4826577976265234,0.15689662285571898,0.00022059266702092998,2.84737424260452
36,150,800,0.007,1.0,1.55,False,1,0.4826924266168238,0.1568835489810693,0.00022129662805289995,2.8473617076834077
37,150,800,0.007,1.0,1.6,False,1,0.48272525178947684,0.15687107523905808,0.00022195232241514578,2.847350308849042
38,150,800,0.007,1.0,1.65,False,1,0.4827272554832652,0.15681844631380365,0.00022301989157568828,2.846569203098659
39,150,800,0.007,1.0,1.7,False,1,0.4888906786683142,0.15581460277981388,0.0002237484839721859,2.8273599704128514
