condition_id,n_agents,epochs,openness,kE,kI,kappa,gini,seed,baseline_individual_cci,stability_cci_mean,stability_hazard_mean,stability_cci_slope,auh_890_910,CCI_recover_t50,hazard_decay_t20
1,100,2000,0.006,1.0,1.0,0.4,0.15,1,0.3610366885428091,0.4349858390812177,0.08662241404090591,-1.739780600681245e-07,2.937042194490054,56,26
2,200,2000,0.006,1.0,1.0,0.4,0.15,1,0.3593162312993367,0.44229777753762234,0.08608143742153784,1.050173876861858e-05,2.91960801147974,56,26
3,400,2000,0.006,1.0,1.0,0.4,0.15,1,0.3585172603176654,0.4391249909286706,0.08627410903790164,-5.688122430979305e-06,2.9199060576624887,46,26
4,800,2000,0.006,1.0,1.0,0.4,0.15,1,0.3570153731922012,0.4404252353947726,0.08617342244422765,3.5127682785664223e-06,2.9214407568944414,56,26
5,100,2000,0.006,1.0,1.2,0.4,0.15,1,0.3610366885428091,0.4349863099179128,0.08662230163939189,-1.7884754053816997e-07,2.9370171808799745,56,26
6,200,2000,0.006,1.0,1.2,0.4,0.15,1,0.3593162312993367,0.44229837451239834,0.08608130733877155,1.0495612234488435e-05,2.9195812351023216,56,26
7,400,2000,0.006,1.0,1.2,0.4,0.15,1,0.3585172603176654,0.44262412547231006,0.08599169738401745,1.348555149954265e-07,2.9133303152643744,46,26
8,800,2000,0.006,1.0,1.2,0.4,0.15,1,0.3570153731922012,0.4431049730984526,0.08595592480623752,-5.406252956085153e-06,2.9146864741600162,56,26
9,100,1600,0.006,1.0,1.0,0.4,0.3,1,0.3602174359527954,0.4316009592560816,0.08684155492782915,8.455281935831133e-06,2.937042603829904,56,26
10,200,1600,0.006,1.0,1.0,0.4,0.3,1,0.35840887638283897,0.44111488617674466,0.08614533851235322,-3.837099549396862e-06,2.9196090919353934,56,26
11,400,1600,0.006,1.0,1.0,0.4,0.3,1,0.35790207392872714,0.4397420721775846,0.08625090008703493,1.868019192488788e-05,2.9199073951711694,56,26
12,100,1600,0.006,1.0,1.2,0.4,0.3,1,0.3602174359527954,0.43163736675950276,0.08683209472021423,8.106237282356522e-06,2.9370173765243375,56,26
13,200,1600,0.006,1.0,1.2,0.4,0.3,1,0.35840887638283897,0.44115870075668523,0.08613489047526932,-4.251049817725367e-06,2.9195816409092648,56,26
