condition_id,chain_idx,lambda,kI,openness,n_agents,epochs,kE,seed,reinject_scale,stability_cci_mean,stability_hazard_mean,stability_cci_slope,stability_coherence_mean
1,0,0.5,1.0,0.006,200,4000,1.0,1,0.5,0.44850864931293755,0.0854905355778752,-3.325959359722582e-05,0.60108
2,1,0.5,1.0,0.006,200,4000,1.0,1,0.5,0.44850864931293755,0.0854905355778752,-3.32595935972245e-05,0.6010800000000003
3,2,0.5,1.0,0.006,200,4000,1.0,1,0.5,0.44850864931293755,0.0854905355778752,-3.32595935972245e-05,0.6010800000000003
4,0,0.7,1.0,0.006,200,4000,1.0,1,0.7,0.44850864931293755,0.0854905355778752,-3.325959359722582e-05,0.60108
5,1,0.7,1.0,0.006,200,4000,1.0,1,0.7,0.44850864931293755,0.0854905355778752,-3.32595935972245e-05,0.6010800000000003
6,2,0.7,1.0,0.006,200,4000,1.0,1,0.7,0.44850864931293755,0.0854905355778752,-3.32595935972245e-05,0.6010800000000003
7,0,0.9,1.0,0.006,200,4000,1.0,1,0.9,0.44850864931293755,0.0854905355778752,-3.325959359722582e-05,0.60108
8,1,0.9,1.0,0.006,200,4000,1.0,1,0.9,0.44850864931293755,0.0854905355778752,-3.32595935972245e-05,0.6010800000000003
9,2,0.9,1.0,0.006,200,4000,1.0,1,0.9,0.44850864931293755,0.0854905355778752,-3.32595935972245e-05,0.6010800000000003
10,0,0.5,1.2,0.006,200,4000,1.0,1,0.5,0.448508649338583,0.08549053557307411,-3.325959387037699e-05,0.60108
11,1,0.5,1.2,0.006,200,4000,1.0,1,0.5,0.448508649338583,0.0854905355730741,-3.325959387037797e-05,0.6010800000000003
12,2,0.5,1.2,0.006,200,3000,1.0,1,0.5,0.4482184589969841,0.08554643789340252,-3.6735336802723214e-06,0.6010800000000003
13,0,0.7,1.2,0.006,200,3000,1.0,1,0.7,0.44821845899698404,0.08554643789340252,-3.6735336802739654e-06,0.60108
14,1,0.7,1.2,0.006,200,3000,1.0,1,0.7,0.44819181645212364,0.08553601684497474,7.059108822782763e-07,0.6010800000000002
15,2,0.7,1.2,0.006,200,3000,1.0,1,0.7,0.44819181645212364,0.08553601684497474,7.059108822782763e-07,0.6010800000000002
16,0,0.9,1.2,0.006,200,3000,1.0,1,0.9,0.44819181645212364,0.08553601684497474,7.059108822778884e-07,0.6010800000000002
17,1,0.9,1.2,0.006,200,3000,1.0,1,0.9,0.44819181645212364,0.08553601684497474,7.059108822782763e-07,0.6010800000000002
18,2,0.9,1.2,0.006,200,3000,1.0,1,0.9,0.44819181645212364,0.08553601684497474,7.059108822782763e-07,0.6010800000000002
19,0,0.5,1.0,0.008,200,3000,1.0,1,0.5,0.4484355491971585,0.0855176384385589,7.317805164028575e-07,0.6014399999999999
20,1,0.5,1.0,0.008,200,3000,1.0,1,0.5,0.4484355491971585,0.0855176384385589,7.317805164028575e-07,0.6014400000000001
21,2,0.5,1.0,0.008,200,3000,1.0,1,0.5,0.4484355491971585,0.0855176384385589,7.317805164028575e-07,0.6014400000000001
22,0,0.7,1.0,0.008,200,3000,1.0,1,0.7,0.4484355491971585,0.0855176384385589,7.317805164028575e-07,0.6014399999999999
23,1,0.7,1.0,0.008,200,3000,1.0,1,0.7,0.4484355491971585,0.0855176384385589,7.317805164028575e-07,0.6014400000000001
24,0,0.9,1.0,0.008,200,3000,1.0,1,0.9,0.4484355491971585,0.0855176384385589,7.317805164028575e-07,0.6014399999999999
25,0,0.5,1.2,0.008,200,3000,1.0,1,0.5,0.4484381330502484,0.08551709790869177,7.057909868839753e-07,0.6014399999999999
26,0,0.7,1.2,0.008,200,3000,1.0,1,0.7,0.4484381330502484,0.08551709790869177,7.057909868839753e-07,0.6014399999999999
27,0,0.9,1.2,0.008,200,3000,1.0,1,0.9,0.4484381330502484,0.08551709790869177,7.057909868839753e-07,0.6014399999999999
