condition_id,n_agents,epochs,openness,kE,kI,psi,seed,stability_cci_mean,stability_hazard_mean,stability_cci_slope,entropy_mean,coherence_mean,auh_890_910,CCI_recover_t50
1,200,2000,0.005,1.0,1.0,0.8,1,0.444585964457666,0.08685749302919173,-2.5703448978139655e-06,1.37686773048404,0.001183025329143153,2.989507451266559,56
2,200,2000,0.005,1.0,1.0,1.0,1,0.44376619522213356,0.08721854952757527,-2.882959118046898e-06,1.5255589342233962,0.0012481175296334996,3.0157718134760527,56
3,200,2000,0.005,1.0,1.0,1.2,1,0.44283097680519434,0.0876053352123005,-3.1065894097548657e-06,1.6332569809811108,0.0013102316705132103,3.043207180743583,56
4,200,2000,0.005,1.0,1.2,0.8,1,0.44477346781492066,0.08682460146691288,-2.1918677642676096e-06,1.3112432376932133,0.0011660770820234984,2.9889906691176824,56
5,200,2000,0.005,1.0,1.2,1.0,1,0.4440758150333048,0.08715904384469988,-2.4592724973985756e-06,1.4688636412271479,0.0012339418930775606,3.0144690752598935,56
6,200,2000,0.005,1.0,1.2,1.2,1,0.44326003228986444,0.08752090801497187,-2.6550970357578647e-06,1.5801695255082828,0.00129418947519645,3.041066479377967,56
7,200,2000,0.006,1.0,1.0,0.8,1,0.4447099894152647,0.08684789238951393,-2.5681434000646433e-06,1.376302000310937,0.0011829311137847298,2.989189895405663,56
8,200,2000,0.006,1.0,1.0,1.0,1,0.4438908636740189,0.08720882375320824,-2.8802359193456876e-06,1.5257033369341153,0.0012480346499367492,3.0154505352381933,56
9,200,2000,0.006,1.0,1.0,1.2,1,0.4429562651759914,0.08759550037401674,-3.103738720608344e-06,1.6331497860042958,0.0013101421766624894,3.042882085772085,56
10,200,1500,0.006,1.0,1.2,0.8,1,0.4450779352949235,0.08676757448915937,4.255052392476508e-06,1.3282768794122612,-0.0011262242335509033,2.988674274597325,56
11,200,1500,0.006,1.0,1.2,1.0,1,0.44447407642628267,0.0870831769957662,4.559922136818399e-06,1.4654665144297785,-0.0010123822160854649,3.0141493992109036,56
12,200,1500,0.006,1.0,1.2,1.2,1,0.4437840572005064,0.08744244463823868,1.2501346927964542e-06,1.5575666308365148,-0.001165334343353209,3.0407433724006436,56
13,200,1500,0.008,1.0,1.0,0.8,1,0.44516762648263747,0.08678906589500711,2.512515438958817e-06,1.3854325999412074,-0.001430029359471253,2.9885548492917646,56
14,200,1500,0.008,1.0,1.0,1.0,1,0.44448723873980517,0.08712405700307714,2.005705201252523e-06,1.5094166483010572,-0.0012756995981234548,3.014808012995807,56
15,200,1500,0.008,1.0,1.0,1.2,1,0.4436500614093471,0.08749684386215839,1.5120667103354333e-06,1.6134675084649868,-0.0011615770480379937,3.042231959183036,56
16,200,1500,0.008,1.0,1.2,0.8,1,0.44536508183600765,0.08675462018591944,1.732461634254702e-06,1.3209978569930565,-0.0014207441583568455,2.988041497087373,56
17,200,1500,0.008,1.0,1.2,1.0,1,0.4447734641879468,0.08707076588800795,1.5312819049992607e-06,1.4573712703968817,-0.0012771331538062505,3.0135100873129623,56
18,200,1500,0.008,1.0,1.2,1.2,1,0.44403319970194793,0.08742297337275615,1.2504675571433975e-06,1.5561564847940246,-0.001165362911170423,3.0400971989615213,56
