condition_id,bio_system,n_agents,epochs,openness,E_met,I_neu,Ksyn,psi,seed,stability_cci_mean,stability_hazard_mean,stability_cci_slope,R_mean,auh_890_910,eta
1,proto,200,1200,0.005,0.9,0.9,0.4,1.0,1,0.4320266333802847,0.09322876576705297,7.02715134783834e-05,4.654529768859865,3.0097161144871483,-0.0049012741893949005
2,proto,200,1200,0.005,0.9,0.9,0.6,1.0,1,0.43212059184151197,0.09322377018511871,6.980358433143145e-05,4.65579408694519,3.009657457283444,-0.0049012741893949005
3,proto,200,1200,0.005,0.9,1.1,0.4,1.0,1,0.43708624631338705,0.09218820491945182,7.362378989409163e-05,4.764200526222331,3.028295135587359,-0.0049012741893949005
4,proto,200,1200,0.005,0.9,1.1,0.6,1.0,1,0.4371988918295808,0.09218187819364729,7.287010593712036e-05,4.765758402422717,3.0283810090394327,-0.0049012741893949005
5,proto,200,1200,0.005,1.1,0.9,0.4,1.0,1,0.4318319202526636,0.09291267919558886,7.084440863171777e-05,4.667526518682081,3.00676752535219,-0.0049012741893949005
6,proto,200,1200,0.005,1.1,0.9,0.6,1.0,1,0.431925893074363,0.09290764053223846,7.037659280878804e-05,4.668798433349336,3.006709304431378,-0.0049012741893949005
7,proto,200,1200,0.005,1.1,1.1,0.4,1.0,1,0.4368008768563806,0.09188252154035806,7.446152380980822e-05,4.776226182561997,3.0252970716632874,-0.0049012741893949005
8,proto,200,1200,0.005,1.1,1.1,0.6,1.0,1,0.43691353110647146,0.09187616861286205,7.370803063003423e-05,4.777792129016303,3.0253835652370906,-0.0049012741893949005
9,proto,200,1200,0.006,0.9,0.9,0.4,1.0,1,0.43215574191601236,0.09321731871709808,7.025446608146473e-05,4.656492243495807,3.0093929828119745,-0.0038669929369584454
10,proto,200,1200,0.006,0.9,0.9,0.6,1.0,1,0.43224968930353214,0.0932123215670762,6.978563115452817e-05,4.657756730517231,3.009334318433396,-0.0038669929369584454
11,proto,200,1200,0.006,0.9,1.1,0.4,1.0,1,0.43721480905049515,0.09217683950939026,7.359879606478712e-05,4.766188638592201,3.027975163157765,-0.0038669929369584454
12,proto,200,1200,0.006,0.9,1.1,0.6,1.0,1,0.43732742775998174,0.09217051215002478,7.284429478219131e-05,4.767746533043757,3.0280610336119977,-0.0038669929369584454
13,proto,200,1200,0.006,1.1,0.9,0.4,1.0,1,0.4319611229730664,0.09290129880648808,7.082741158062965e-05,4.669494268619191,3.006444141762914,-0.0038669929369584454
14,proto,200,1200,0.006,1.1,0.9,0.6,1.0,1,0.4320550847248342,0.0928962585637215,7.035868967612634e-05,4.670766355409789,3.0063859140749094,-0.0038669929369584454
15,proto,200,1600,0.006,1.1,1.1,0.4,1.0,1,0.4407945388594743,0.0875715562497106,1.2241393861439343e-05,5.033674348254327,3.024976755535306,-0.0038669929369584454
16,proto,200,1600,0.006,1.1,1.1,0.6,1.0,1,0.440766735943016,0.0875723641185546,1.1633802153978498e-05,5.03330847915407,3.0250632458103075,-0.0038669929369584454
17,plant,200,1600,0.005,0.9,0.9,0.4,1.0,1,0.43567408156553605,0.08729868799850642,4.399416870239613e-06,4.990806786015041,3.0097161144871483,-0.0049012741893949005
18,plant,200,1600,0.005,0.9,0.9,0.6,1.0,1,0.4355065074282532,0.08730633671573496,3.7771660168279925e-06,4.988417300978662,3.009657457283444,-0.0049012741893949005
19,plant,200,1600,0.005,0.9,1.1,0.4,1.0,1,0.4407405950102711,0.08766851392492221,1.2709781644060927e-05,5.027511853844617,3.028295135587359,-0.0049012741893949005
20,plant,200,1600,0.005,0.9,1.1,0.6,1.0,1,0.4407129458750635,0.08766931489638087,1.2142189306403422e-05,5.027148275627119,3.0283810090394327,-0.0049012741893949005
21,plant,200,1600,0.005,1.1,0.9,0.4,1.0,1,0.435496815135426,0.08721402171553982,3.836346096516808e-06,4.993588932596867,3.00676752535219,-0.0049012741893949005
22,plant,200,1600,0.005,1.1,0.9,0.6,1.0,1,0.435458603563034,0.0872156625956402,3.7930756822363144e-06,4.993054912660617,3.006709304431378,-0.0049012741893949005
23,plant,200,1600,0.005,1.1,1.1,0.4,1.0,1,0.44067041496762044,0.0875782764477054,1.276082432419302e-05,5.031892281653925,3.0252970716632874,-0.0049012741893949005
24,plant,200,1600,0.005,1.1,1.1,0.6,1.0,1,0.44064276762645527,0.08757907203703631,1.2193214431176688e-05,5.031528606491406,3.0253835652370906,-0.0049012741893949005
25,plant,200,1600,0.006,0.9,0.9,0.4,1.0,1,0.4356695660745776,0.08729487652600064,3.816893717072083e-06,4.99094208638809,3.0093929828119745,-0.0038669929369584454
26,plant,200,1600,0.006,0.9,0.9,0.6,1.0,1,0.4356313481607004,0.08729651415351572,3.77369794117238e-06,4.990408733440388,3.009334318433396,-0.0038669929369584454
27,plant,200,1600,0.006,0.9,1.1,0.4,1.0,1,0.4408647010522348,0.08765886988424243,1.2708859655718505e-05,5.029480821316814,3.027975163157765,-0.0038669929369584454
28,plant,200,1600,0.006,0.9,1.1,0.6,1.0,1,0.44083705147408814,0.08765967111575344,1.2141238944507234e-05,5.029117164597495,3.0280610336119977,-0.0038669929369584454
29,plant,200,1600,0.006,1.1,0.9,0.4,1.0,1,0.4356216862924643,0.08720419610758426,3.832830036545491e-06,4.995583579829904,3.006444141762914,-0.0038669929369584454
30,plant,200,1600,0.006,1.1,0.9,0.6,1.0,1,0.4355834670294437,0.08720583778252945,3.7895772416592996e-06,4.99504932816027,3.0063859140749094,-0.0038669929369584454
31,plant,200,1600,0.006,1.1,1.1,0.4,1.0,1,0.44079455613494517,0.0875686235186577,1.2759834825134593e-05,5.033864673926262,3.024976755535306,-0.0038669929369584454
32,plant,200,1600,0.006,1.1,1.1,0.6,1.0,1,0.440766908349231,0.0875694193728713,1.2192196578390985e-05,5.033500919901725,3.0250632458103075,-0.0038669929369584454
33,animal,200,1600,0.005,0.9,0.9,0.4,1.0,1,0.4355447176513538,0.08730469988350834,3.820379407213221e-06,4.988950422713337,3.0097161144871483,-0.0049012741893949005
34,animal,200,1600,0.005,0.9,0.9,0.6,1.0,1,0.4355065074282532,0.08730633671573496,3.7771660168279925e-06,4.988417300978662,3.009657457283444,-0.0049012741893949005
35,animal,200,1600,0.005,0.9,1.1,0.4,1.0,1,0.4407405950102711,0.08766851392492221,1.2709781644060927e-05,5.027511853844617,3.028295135587359,-0.0049012741893949005
36,animal,200,1600,0.005,0.9,1.1,0.6,1.0,1,0.4407129458750635,0.08766931489638087,1.2142189306403422e-05,5.027148275627119,3.0283810090394327,-0.0049012741893949005
37,animal,200,1600,0.005,1.1,0.9,0.4,1.0,1,0.435496815135426,0.08721402171553982,3.836346096516808e-06,4.993588932596867,3.00676752535219,-0.0049012741893949005
38,animal,200,1600,0.005,1.1,0.9,0.6,1.0,1,0.435458603563034,0.0872156625956402,3.7930756822363144e-06,4.993054912660617,3.006709304431378,-0.0049012741893949005
39,animal,200,1600,0.005,1.1,1.1,0.4,1.0,1,0.44067041496762044,0.0875782764477054,1.276082432419302e-05,5.031892281653925,3.0252970716632874,-0.0049012741893949005
40,animal,200,1600,0.005,1.1,1.1,0.6,1.0,1,0.44064276762645527,0.08757907203703631,1.2193214431176688e-05,5.031528606491406,3.0253835652370906,-0.0049012741893949005
41,animal,200,1600,0.006,0.9,0.9,0.4,1.0,1,0.4356695660745776,0.08729487652600064,3.816893717072083e-06,4.99094208638809,3.0093929828119745,-0.0038669929369584454
42,animal,200,1600,0.006,0.9,0.9,0.6,1.0,1,0.4356313481607004,0.08729651415351572,3.77369794117238e-06,4.990408733440388,3.009334318433396,-0.0038669929369584454
43,animal,200,1600,0.006,0.9,1.1,0.4,1.0,1,0.4408647010522348,0.08765886988424243,1.2708859655718505e-05,5.029480821316814,3.027975163157765,-0.0038669929369584454
44,animal,200,1600,0.006,0.9,1.1,0.6,1.0,1,0.44083705147408814,0.08765967111575344,1.2141238944507234e-05,5.029117164597495,3.0280610336119977,-0.0038669929369584454
45,animal,200,1600,0.006,1.1,0.9,0.4,1.0,1,0.4356216862924643,0.08720419610758426,3.832830036545491e-06,4.995583579829904,3.006444141762914,-0.0038669929369584454
46,animal,200,1600,0.006,1.1,0.9,0.6,1.0,1,0.4355834670294437,0.08720583778252945,3.7895772416592996e-06,4.99504932816027,3.0063859140749094,-0.0038669929369584454
