condition_id,ai_system,n_agents,epochs,openness,kE,kI,K,psi,seed,stability_cci_mean,stability_hazard_mean,stability_cci_slope,auh_890_910,R_mean
1,tiny,160,1000,0.006,0.8,0.8,0.5,1.0,1,0.4060725984201977,0.11852938011132522,-0.00031515217375855834,2.5178501867141923,4.195891030856976
2,tiny,160,1000,0.006,0.8,1.0,0.5,1.0,1,0.4065155396770267,0.11840838315100376,-0.000309874712119983,2.5155317056507998,4.204376491978455
3,tiny,160,1000,0.006,0.8,1.2,0.5,1.0,1,0.40682491183070724,0.11833632024126595,-0.0003050142327528502,2.5142644910085714,4.2099950787498335
4,tiny,160,1000,0.006,0.8,1.35,0.5,1.0,1,0.41226142156290585,0.11751905827361304,-0.00029844036071627675,2.5030125969711925,4.3099506173019915
5,tiny,160,1000,0.006,1.0,0.8,0.5,1.0,1,0.4061091637515384,0.1183484404738477,-0.0003146541147867387,2.514446223211187,4.2024855964134575
6,tiny,160,1000,0.006,1.0,1.0,0.5,1.0,1,0.40654687633026637,0.11823649220088038,-0.00030951955734252463,2.5123315507863024,4.210853703354057
7,tiny,160,1000,0.006,1.0,1.2,0.5,1.0,1,0.4068607247901354,0.11815630918896551,-0.0003045231155820861,2.5108879408770646,4.216617299150839
8,tiny,160,1000,0.006,1.0,1.35,0.5,1.0,1,0.41226304657026663,0.11732795612109843,-0.0002981017806234739,2.4994035622662567,4.316983141273619
9,tiny,160,1000,0.006,1.2,0.8,0.5,1.0,1,0.4061318039870491,0.118218893761583,-0.00031438953411885135,2.5121066948786557,4.20732271560913
10,tiny,160,1000,0.006,1.2,1.0,0.5,1.0,1,0.40657421319415565,0.1180989364903723,-0.0003091101435644402,2.509817530842873,4.215837340253681
11,tiny,160,1000,0.006,1.2,1.2,0.5,1.0,1,0.4068879642388831,0.11801863113490274,-0.00030411449190984464,2.508372596924846,4.221616373480054
12,tiny,160,1000,0.006,1.2,1.35,0.5,1.0,1,0.41226565103660284,0.11718373306781561,-0.0002978411826911555,2.4967596235917577,4.322258979939291
13,tiny,160,1000,0.008,0.8,0.8,0.5,1.0,1,0.40636516992301275,0.1184977497041885,-0.0003150472202936785,2.5171725091432604,4.199991871562086
14,tiny,160,1000,0.008,0.8,1.0,0.5,1.0,1,0.4068072205058784,0.11837701347567456,-0.00030975771918206776,2.5148606026964044,4.20846392821376
15,tiny,160,1000,0.008,0.8,1.2,0.5,1.0,1,0.40711601117090906,0.1183051618177368,-0.00030488801453330166,2.5135988019062947,4.214072771486362
16,tiny,160,1000,0.008,0.8,1.35,0.5,1.0,1,0.4125522766177318,0.11748787262990182,-0.00029831070681519365,2.5023471601441134,4.314097636928454
17,tiny,160,1000,0.008,1.0,0.8,0.5,1.0,1,0.40640175228239833,0.11831680438797633,-0.00031454858575085,2.513769350967293,4.206593814562162
18,tiny,160,1000,0.008,1.0,1.0,0.5,1.0,1,0.4068385659600194,0.11820514340188859,-0.00030940200767534004,2.511661900996641,4.214947969437359
19,tiny,160,1000,0.008,1.0,1.2,0.5,1.0,1,0.40715184153164763,0.11812514587823701,-0.0003043963122809475,2.510223074986821,4.220702325038496
20,tiny,160,1000,0.008,1.0,1.35,0.5,1.0,1,0.41255396426644936,0.11729680202299816,-0.0002979718431600835,2.498739847383875,4.3211371956259805
21,tiny,160,1000,0.008,1.2,0.8,0.5,1.0,1,0.4064244024163401,0.11818725797678288,-0.00031428354184989454,2.511430664604009,4.211436952642094
22,tiny,160,1400,0.008,1.2,1.0,0.5,1.0,1,0.42389862101732423,0.07422532298888074,1.3215460520695455e-05,2.5091480370063493,5.711195637381525
23,tiny,160,1400,0.008,1.2,1.2,0.5,1.0,1,0.42438090698477354,0.07412146426553641,1.1497894343804782e-05,2.507707892054305,5.725699561289074
24,tiny,160,1400,0.008,1.2,1.35,0.5,1.0,1,0.4286147876012431,0.0727655591398072,1.082259405133087e-05,2.4960965874323198,5.890668863924793
25,base,160,1400,0.006,0.8,0.8,0.5,1.0,1,0.42276442542289916,0.07466241923470039,1.6080102315209407e-05,2.5178501867141923,5.6625889784540835
26,base,160,1400,0.006,0.8,1.0,0.5,1.0,1,0.42361225017611587,0.07445165118504272,8.415152195990172e-06,2.5155317056507998,5.690070930160238
27,base,160,1400,0.006,0.8,1.2,0.5,1.0,1,0.42409330285028374,0.07434795983602295,6.728546570968987e-06,2.5142644910085714,5.704472361301202
28,base,160,1400,0.006,0.8,1.35,0.5,1.0,1,0.428338215279223,0.0730376222872356,1.3959486020159282e-05,2.5030125969711925,5.864813714040822
29,base,160,1400,0.006,1.0,0.8,0.5,1.0,1,0.4228012666988974,0.07448064757312305,1.1267672285450102e-05,2.514446223211187,5.676972196694285
30,base,160,1400,0.006,1.0,1.0,0.5,1.0,1,0.4236202651090647,0.07430649138199767,8.445737185720763e-06,2.5123315507863024,5.701290985286131
31,base,160,1400,0.006,1.0,1.2,0.5,1.0,1,0.42410327343274506,0.07420284817768265,6.740893778643466e-06,2.5108879408770646,5.715760067292943
32,base,160,1400,0.006,1.0,1.35,0.5,1.0,1,0.42829937995274575,0.07289742825303382,1.4157126389926025e-05,2.4994035622662567,5.875561276326015
33,base,160,1400,0.006,1.2,0.8,0.5,1.0,1,0.4228055166563908,0.07438491441688876,1.1324005783583517e-05,2.5121066948786557,5.684333229597802
34,base,160,1400,0.006,1.2,1.0,0.5,1.0,1,0.4236281641659248,0.0742101912087614,8.469710892284434e-06,2.509817530842873,5.708793848602279
35,base,160,1400,0.006,1.2,1.2,0.5,1.0,1,0.4241107482052362,0.07410642060506159,6.766340656274725e-06,2.508372596924846,5.723296640277562
36,base,160,1400,0.006,1.2,1.35,0.5,1.0,1,0.4282767904816735,0.0728050526906803,1.4289509588844016e-05,2.4967596235917577,5.882707063839758
37,large,160,1400,0.006,0.8,0.8,0.5,1.0,1,0.42278934444460764,0.07462559675267179,1.1264980889702645e-05,2.5178501867141923,5.665790724192282
38,large,160,1400,0.006,0.8,1.0,0.5,1.0,1,0.42361225017611587,0.07445165118504272,8.415152195990172e-06,2.5155317056507998,5.690070930160238
39,large,160,1400,0.006,0.8,1.2,0.5,1.0,1,0.42409330285028374,0.07434795983602295,6.728546570968987e-06,2.5142644910085714,5.704472361301202
40,large,160,1400,0.006,0.8,1.35,0.5,1.0,1,0.428338215279223,0.0730376222872356,1.3959486020159282e-05,2.5030125969711925,5.864813714040822
41,large,160,1400,0.006,1.0,0.8,0.5,1.0,1,0.4228012666988974,0.07448064757312305,1.1267672285450102e-05,2.514446223211187,5.676972196694285
42,large,160,1400,0.006,1.0,1.0,0.5,1.0,1,0.4236202651090647,0.07430649138199767,8.445737185720763e-06,2.5123315507863024,5.701290985286131
43,large,160,1400,0.006,1.0,1.2,0.5,1.0,1,0.42410327343274506,0.07420284817768265,6.740893778643466e-06,2.5108879408770646,5.715760067292943
44,large,160,1400,0.006,1.0,1.35,0.5,1.0,1,0.42829937995274575,0.07289742825303382,1.4157126389926025e-05,2.4994035622662567,5.875561276326015
45,large,160,1400,0.006,1.2,0.8,0.5,1.0,1,0.4228055166563908,0.07438491441688876,1.1324005783583517e-05,2.5121066948786557,5.684333229597802
46,large,160,1400,0.006,1.2,1.0,0.5,1.0,1,0.4236281641659248,0.0742101912087614,8.469710892284434e-06,2.509817530842873,5.708793848602279
47,large,160,1400,0.006,1.2,1.2,0.5,1.0,1,0.4241107482052362,0.07410642060506159,6.766340656274725e-06,2.508372596924846,5.723296640277562
48,large,160,1400,0.006,1.2,1.35,0.5,1.0,1,0.4282767904816735,0.0728050526906803,1.4289509588844016e-05,2.4967596235917577,5.882707063839758
