condition_id,cosmic_regime,n_agents,epochs,openness,kE,kI,lam,eta,seed,stability_cci_mean,stability_hazard_mean,stability_cci_slope,R_mean,auh_1180_1220
1,present,180,1400,0.003,0.9,0.9,0.7,-0.009521653501561282,1,0.38341129446713507,0.22505976930634733,0.00017595863805632025,2.005706053784995,8.156502478342189
2,present,180,1400,0.003,0.9,0.9,0.9,-0.009521653501561282,1,0.3831687165513328,0.2267122386529667,0.00017186292620365845,1.9881965413783453,8.18604332141311
3,present,180,1400,0.003,0.9,1.0,0.7,-0.009521653501561282,1,0.3834112203300629,0.22505976930634733,0.00017595682496560078,2.0057055615658075,8.156502478342189
4,present,180,1400,0.003,0.9,1.0,0.9,-0.009521653501561282,1,0.3831686424142605,0.2267122386529667,0.00017186111311293898,1.988196056991308,8.18604332141311
5,present,180,1400,0.003,0.9,1.1,0.7,-0.009521653501561282,1,0.38341113825650613,0.22505976930634733,0.00017595538568979726,2.0057050539281724,8.156502478342189
6,present,180,1400,0.003,0.9,1.1,0.9,-0.009521653501561282,1,0.3831685603407038,0.2267122386529667,0.00017185967383713546,1.9881955567954968,8.18604332141311
7,present,180,1400,0.003,1.0,0.9,0.7,-0.009521653501561282,1,0.38341129445807426,0.22505976930634733,0.0001759586375709636,2.005706053713433,8.156502478342189
8,present,180,1400,0.003,1.0,0.9,0.9,-0.009521653501561282,1,0.3831687165422718,0.2267122386529667,0.0001718629257183008,1.9881965413087075,8.18604332141311
9,present,180,1400,0.003,1.0,1.0,0.7,-0.009521653501561282,1,0.38341122032100206,0.22505976930634733,0.00017595682448024163,2.005705561494245,8.156502478342189
10,present,180,1400,0.003,1.0,1.0,0.9,-0.009521653501561282,1,0.38316864240519966,0.2267122386529667,0.00017186111262757983,1.9881960569216706,8.18604332141311
11,present,180,1400,0.003,1.0,1.1,0.7,-0.009521653501561282,1,0.38341113824744527,0.22505976930634733,0.00017595538520443515,2.00570505385661,8.156502478342189
12,present,180,1400,0.003,1.0,1.1,0.9,-0.009521653501561282,1,0.3831685603316429,0.2267122386529667,0.0001718596733517763,1.9881955567258593,8.18604332141311
13,present,180,1400,0.003,1.1,0.9,0.7,-0.009521653501561282,1,0.38341129444202,0.22505976930634733,0.00017595863734197521,2.005706053619851,8.156502478342189
14,present,180,1400,0.003,1.1,0.9,0.9,-0.009521653501561282,1,0.3831687165262176,0.2267122386529667,0.00017186292548931488,1.9881965412167137,8.18604332141311
15,present,180,1400,0.003,1.1,1.0,0.7,-0.009521653501561282,1,0.3834112203049479,0.22505976930634733,0.00017595682425125176,2.005705561400664,8.156502478342189
16,present,180,1400,0.003,1.1,1.0,0.9,-0.009521653501561282,1,0.3831686423891455,0.2267122386529667,0.00017186111239859045,1.9881960568296764,8.18604332141311
17,present,180,1400,0.003,1.1,1.1,0.7,-0.009521653501561282,1,0.38341113823139117,0.22505976930634733,0.00017595538497544526,2.0057050537630285,8.156502478342189
18,present,180,1400,0.003,1.1,1.1,0.9,-0.009521653501561282,1,0.38316856031558877,0.2267122386529667,0.00017185967312278595,1.9881955566338654,8.18604332141311
19,present,180,1400,0.005,0.9,0.9,0.7,-0.0049012741893949005,1,0.3835682929079011,0.22504416745680417,0.00017602849904116088,2.0066016302075305,8.15600378306149
20,present,180,1400,0.005,0.9,0.9,0.9,-0.0049012741893949005,1,0.3833254365528569,0.22669606878992926,0.00017193510517736482,1.9890867997893733,8.185532334475258
21,present,180,1400,0.005,0.9,1.0,0.7,-0.0049012741893949005,1,0.38356826402672334,0.22504416745680417,0.00017602750395058787,2.006601421013626,8.15600378306149
22,present,180,1400,0.005,0.9,1.0,0.9,-0.0049012741893949005,1,0.3833254076716792,0.22669606878992926,0.0001719341100867923,1.9890865943806653,8.185532334475258
23,present,180,1400,0.005,0.9,1.1,0.7,-0.0049012741893949005,1,0.3835682240910367,0.22504416745680417,0.00017602674758719343,2.006601170741996,8.15600378306149
24,present,180,1400,0.005,0.9,1.1,0.9,-0.0049012741893949005,1,0.38332536773599246,0.22669606878992926,0.00017193335372339788,1.989086347880045,8.185532334475258
25,present,180,1400,0.005,1.0,0.9,0.7,-0.0049012741893949005,1,0.38356829299818007,0.22504416745680417,0.00017602849823945718,2.0066016306271486,8.15600378306149
26,present,180,1400,0.005,1.0,0.9,0.9,-0.0049012741893949005,1,0.3833254366431358,0.22669606878992926,0.0001719351043756616,1.9890868002071749,8.185532334475258
27,present,180,1400,0.005,1.0,1.0,0.7,-0.0049012741893949005,1,0.38356826411700223,0.22504416745680417,0.00017602750314888466,2.006601421433245,8.15600378306149
28,present,180,1400,0.005,1.0,1.0,0.9,-0.0049012741893949005,1,0.383325407761958,0.22669606878992926,0.00017193410928508911,1.9890865947984666,8.185532334475258
