file,category,mean_CCI,mean_survival,mean_collapse,mean_hazard,cci_ci_present,survival_ci_present,preregistered_flag,detected_columns
discovery_results/data/runs_summary.csv,hypothesis_only,0.4975,,,0.0835,False,False,False,"{'CCI': 'stability_cci_mean', 'survival_rate': None, 'collapse_risk': None, 'hazard': 'stability_hazard_mean'}"
discovery_results/money_competition_phase4_20251006_084811/data/runs_summary.csv,under_review,0.7443,,,0.5066,False,False,False,"{'CCI': 'avg_final_CCI', 'survival_rate': None, 'collapse_risk': None, 'hazard': 'avg_final_hazard'}"
discovery_results/money_competition_phase3_20251006_083942/data/runs_summary.csv,hypothesis_only,0.2785,,,2.0807,True,False,False,"{'CCI': 'baseline_CCI', 'survival_rate': None, 'collapse_risk': None, 'hazard': 'baseline_hazard'}"
discovery_results/temporal_drift_phase8_20251006_093013/data/runs_summary.csv,hypothesis_only,,,0.0,,False,False,False,"{'CCI': None, 'survival_rate': None, 'collapse_risk': 'total_collapse_count', 'hazard': None}"
discovery_results/civilization_exchange_phase6_20251006_090651/data/runs_summary.csv,hypothesis_only,0.0001,,,,False,False,False,"{'CCI': 'cci_convergence', 'survival_rate': None, 'collapse_risk': None, 'hazard': None}"
discovery_results/money_competition_phase5_20251006_085650/data/runs_summary.csv,under_review,0.9232,,,0.2442,False,False,False,"{'CCI': 'avg_final_CCI', 'survival_rate': None, 'collapse_risk': None, 'hazard': 'avg_final_hazard'}"
discovery_results/phase23_validation_20251008_045906/data/runs_summary.csv,under_review,0.4678,0.7664,0.4743,0.3184,True,True,True,"{'CCI': 'CCI', 'survival_rate': 'survival_rate', 'collapse_risk': 'collapse_risk', 'hazard': 'hazard'}"
discovery_results/phase17/data/runs_summary.csv,hypothesis_only,0.4174,,,0.0933,False,False,False,"{'CCI': 'stability_cci_mean', 'survival_rate': None, 'collapse_risk': None, 'hazard': 'stability_hazard_mean'}"
discovery_results/temporal_drift_phase8_20251006_093038/data/runs_summary.csv,hypothesis_only,,,19.2,,False,False,False,"{'CCI': None, 'survival_rate': None, 'collapse_risk': 'total_collapse_count', 'hazard': None}"
discovery_results/phase16/data/runs_summary.csv,hypothesis_only,0.4371,,,0.089,False,False,False,"{'CCI': 'stability_cci_mean', 'survival_rate': None, 'collapse_risk': None, 'hazard': 'stability_hazard_mean'}"
discovery_results/phase18/data/runs_summary.csv,hypothesis_only,0.4025,,,0.1484,False,False,False,"{'CCI': 'stability_cci_mean', 'survival_rate': None, 'collapse_risk': None, 'hazard': 'stability_hazard_mean'}"
discovery_results/temporal_drift_phase8_20251006_092905/data/runs_summary.csv,hypothesis_only,,,0.0,,False,False,False,"{'CCI': None, 'survival_rate': None, 'collapse_risk': 'total_collapse_count', 'hazard': None}"
discovery_results/money_competition_20251006_071657/data/runs_summary.csv,under_review,0.9019,,,3.4376,False,False,False,"{'CCI': 'peak_CCI', 'survival_rate': None, 'collapse_risk': None, 'hazard': 'stability_hazard_mean'}"
discovery_results/global_cultural_network_phase7_20251006_091611/data/runs_summary.csv,under_review,0.6328,,,,False,False,False,"{'CCI': 'final_global_CCI', 'survival_rate': None, 'collapse_risk': None, 'hazard': None}"
discovery_results/phase13/data/runs_summary.csv,hypothesis_only,0.3842,,0.2211,0.0863,True,False,False,"{'CCI': 'baseline_individual_cci', 'survival_rate': None, 'collapse_risk': 'gini', 'hazard': 'stability_hazard_mean'}"
discovery_results/phase14/data/runs_summary.csv,hypothesis_only,0.4484,,,0.0855,False,False,False,"{'CCI': 'stability_cci_mean', 'survival_rate': None, 'collapse_risk': None, 'hazard': 'stability_hazard_mean'}"
discovery_results/phase15/data/runs_summary.csv,hypothesis_only,0.4442,,,0.0872,False,False,False,"{'CCI': 'stability_cci_mean', 'survival_rate': None, 'collapse_risk': None, 'hazard': 'stability_hazard_mean'}"
discovery_results/phase12/data/runs_summary.csv,hypothesis_only,0.4788,,,0.1574,False,False,False,"{'CCI': 'stability_cci_mean', 'survival_rate': None, 'collapse_risk': None, 'hazard': 'stability_hazard_mean'}"
