domain,agents,epsilon,shock,seed,CCI,survival_rate,hazard,collapse_risk,preregistered,CCI_mean,CCI_ci_lo,CCI_ci_hi,cci_ci,survival_rate_mean,survival_rate_ci_lo,survival_rate_ci_hi,survival_ci
bio,800,0.003,0.02,901,0.43234857303140506,0.7717120341693737,0.31340060227846744,0.4420141529938409,True,0.43162424883837813,0.4313536105173933,0.43185497660930267,1,0.7714242906013757,0.7713383300410592,0.7715039777331028,1
bio,800,0.003,0.02,902,0.43094586376843763,0.7715963880394762,0.31449796724357404,0.4386186708459642,True,0.43162424883837813,0.4313536105173933,0.43185497660930267,1,0.7714242906013757,0.7713383300410592,0.7715039777331028,1
bio,800,0.003,0.02,903,0.4313391224007435,0.7713860586181767,0.31404985836903626,0.43382339925635033,True,0.43162424883837813,0.4313536105173933,0.43185497660930267,1,0.7714242906013757,0.7713383300410592,0.7715039777331028,1
bio,800,0.003,0.02,904,0.432143524891755,0.7713477433291771,0.3150733154017141,0.44798013918494706,True,0.43162424883837813,0.4313536105173933,0.43185497660930267,1,0.7714242906013757,0.7713383300410592,0.7715039777331028,1
bio,800,0.003,0.02,905,0.4319176161768976,0.7713425592089937,0.3143832413516824,0.4433004059106697,True,0.43162424883837813,0.4313536105173933,0.43185497660930267,1,0.7714242906013757,0.7713383300410592,0.7715039777331028,1
bio,800,0.003,0.02,906,0.43105079276102987,0.7711609602430565,0.313735620149915,0.4316618232751788,True,0.43162424883837813,0.4313536105173933,0.43185497660930267,1,0.7714242906013757,0.7713383300410592,0.7715039777331028,1
bio,800,0.003,0.04,901,0.43074857303140496,0.7700720341693739,0.31422060227846743,0.44233148843057096,True,0.4300242488383781,0.4297536105173933,0.4302549766093026,1,0.7697842906013757,0.7696983300410591,0.7698639777331028,1
bio,800,0.003,0.04,902,0.42934586376843753,0.7699563880394761,0.315317967243574,0.43893633185367437,True,0.4300242488383781,0.4297536105173933,0.4302549766093026,1,0.7697842906013757,0.7696983300410591,0.7698639777331028,1
bio,800,0.003,0.04,903,0.4297391224007435,0.7697460586181766,0.31486985836903625,0.4341433321631781,True,0.4300242488383781,0.4297536105173933,0.4302549766093026,1,0.7697842906013757,0.7696983300410591,0.7698639777331028,1
bio,800,0.003,0.04,904,0.430543524891755,0.7697077433291771,0.31589331540171417,0.4482929923337878,True,0.4300242488383781,0.4297536105173933,0.4302549766093026,1,0.7697842906013757,0.7696983300410591,0.7698639777331028,1
bio,800,0.003,0.04,905,0.4303176161768975,0.7697025592089938,0.3152032413516824,0.44361617729939407,True,0.4300242488383781,0.4297536105173933,0.4302549766093026,1,0.7697842906013757,0.7696983300410591,0.7698639777331028,1
bio,800,0.003,0.04,906,0.4294507927610299,0.7695209602430563,0.314555620149915,0.43198281861363547,True,0.4300242488383781,0.4297536105173933,0.4302549766093026,1,0.7697842906013757,0.7696983300410591,0.7698639777331028,1
bio,800,0.003,0.06,901,0.4291485730314051,0.7684320341693738,0.3150406022784675,0.44264785699028797,True,0.4284242488383781,0.42815361051739326,0.4286549766093026,1,0.7681442906013757,0.7680583300410591,0.7682239777331029,1
bio,800,0.003,0.06,902,0.42774586376843754,0.7683163880394762,0.31613796724357396,0.4392530395406743,True,0.4284242488383781,0.42815361051739326,0.4286549766093026,1,0.7681442906013757,0.7680583300410591,0.7682239777331029,1
bio,800,0.003,0.06,903,0.4281391224007434,0.7681060586181766,0.3156898583690363,0.4344623194930662,True,0.4284242488383781,0.42815361051739326,0.4286549766093026,1,0.7681442906013757,0.7680583300410591,0.7682239777331029,1
bio,800,0.003,0.06,904,0.4289435248917549,0.7680677433291772,0.31671331540171416,0.44860487799604837,True,0.4284242488383781,0.42815361051739326,0.4286549766093026,1,0.7681442906013757,0.7680583300410591,0.7682239777331029,1
bio,800,0.003,0.06,905,0.4287176161768975,0.7680625592089937,0.31602324135168236,0.4439309853628141,True,0.4284242488383781,0.42815361051739326,0.4286549766093026,1,0.7681442906013757,0.7680583300410591,0.7682239777331029,1
