CCI,hazard,risk,survival,epoch,delta_CCI,delta_hazard,pre_shock_CCI,pre_shock_hazard,success,epsilon,rho,trust_delta,meaning_delta,seed,run_idx
0.561747273706526,0.2312848175079593,0.16785200000000003,0.832148,1000,0.028087363685326272,-0.02312848175079593,0.5336599100211997,0.2544132992587552,True,0.0011,0.0828,0.06,0.06,11,1
0.565747273706526,0.2297848175079593,0.16630575,0.83369425,1000,0.02828736368532636,-0.022978481750795948,0.5374599100211996,0.25276329925875524,True,0.0011,0.0828,0.06,0.07,11,2
0.569747273706526,0.2282848175079593,0.1647655,0.8352345,1000,0.02848736368532634,-0.022828481750795965,0.5412599100211997,0.25111329925875525,True,0.0011,0.0828,0.06,0.08,11,3
0.564747273706526,0.2297848175079593,0.166421,0.833579,1000,0.028237363685326367,-0.022978481750795948,0.5365099100211996,0.25276329925875524,True,0.0011,0.0828,0.07,0.06,11,4
0.568747273706526,0.2282848175079593,0.16488,0.83512,1000,0.028437363685326345,-0.022828481750795965,0.5403099100211997,0.25111329925875525,True,0.0011,0.0828,0.07,0.07,11,5
0.572747273706526,0.22678481750795929,0.163345,0.836655,1000,0.028637363685326322,-0.022678481750795954,0.5441099100211997,0.24946329925875524,True,0.0011,0.0828,0.07,0.08,11,6
0.5661472737065261,0.2312848175079593,0.1673416,0.8326584,1000,0.02830736368532638,-0.02312848175079593,0.5378399100211997,0.2544132992587552,True,0.0011,0.085,0.06,0.06,11,7
0.5701472737065261,0.2297848175079593,0.16579865,0.8342013500000001,1000,0.02850736368532636,-0.022978481750795948,0.5416399100211997,0.25276329925875524,True,0.0011,0.085,0.06,0.07,11,8
0.5741472737065261,0.2282848175079593,0.16426169999999998,0.8357383,1000,0.028707363685326337,-0.022828481750795965,0.5454399100211997,0.25111329925875525,True,0.0011,0.085,0.06,0.08,11,9
0.5691472737065261,0.2297848175079593,0.1659139,0.8340860999999999,1000,0.028457363685326365,-0.022978481750795948,0.5406899100211997,0.25276329925875524,True,0.0011,0.085,0.07,0.06,11,10
0.5731472737065261,0.2282848175079593,0.1643762,0.8356238,1000,0.028657363685326342,-0.022828481750795965,0.5444899100211997,0.25111329925875525,True,0.0011,0.085,0.07,0.07,11,11
0.5771472737065261,0.22678481750795929,0.1628445,0.8371554999999999,1000,0.02885736368532632,-0.022678481750795954,0.5482899100211998,0.24946329925875524,True,0.0011,0.085,0.07,0.08,11,12
0.571147273706526,0.2312848175079593,0.1667616,0.8332383999999999,1000,0.028557363685326353,-0.02312848175079593,0.5425899100211996,0.2544132992587552,True,0.0011,0.0875,0.06,0.06,11,13
0.575147273706526,0.2297848175079593,0.16522240000000002,0.8347776,1000,0.02875736368532633,-0.022978481750795948,0.5463899100211996,0.25276329925875524,True,0.0011,0.0875,0.06,0.07,11,14
0.579147273706526,0.2282848175079593,0.1636892,0.8363108,1000,0.02895736368532631,-0.022828481750795965,0.5501899100211997,0.25111329925875525,True,0.0011,0.0875,0.06,0.08,11,15
0.574147273706526,0.2297848175079593,0.16533765000000003,0.83466235,1000,0.028707363685326337,-0.022978481750795948,0.5454399100211996,0.25276329925875524,True,0.0011,0.0875,0.07,0.06,11,16
0.578147273706526,0.2282848175079593,0.16380370000000002,0.8361963,1000,0.028907363685326315,-0.022828481750795965,0.5492399100211997,0.25111329925875525,True,0.0011,0.0875,0.07,0.07,11,17
0.582147273706526,0.22678481750795929,0.16227575000000002,0.83772425,1000,0.029107363685326293,-0.022678481750795954,0.5530399100211997,0.24946329925875524,True,0.0011,0.0875,0.07,0.08,11,18
0.576147273706526,0.2312848175079593,0.16618159999999998,0.8338184,1000,0.028807363685326326,-0.02312848175079593,0.5473399100211996,0.2544132992587552,True,0.0011,0.09,0.06,0.06,11,19
0.580147273706526,0.2297848175079593,0.16464615,0.83535385,1000,0.029007363685326304,-0.022978481750795948,0.5511399100211997,0.25276329925875524,True,0.0011,0.09,0.06,0.07,11,20
0.584147273706526,0.2282848175079593,0.1631167,0.8368833,1000,0.029207363685326282,-0.022828481750795965,0.5549399100211997,0.25111329925875525,True,0.0011,0.09,0.06,0.08,11,21
0.579147273706526,0.2297848175079593,0.1647614,0.8352386,1000,0.02895736368532631,-0.022978481750795948,0.5501899100211997,0.25276329925875524,True,0.0011,0.09,0.07,0.06,11,22
0.583147273706526,0.2282848175079593,0.1632312,0.8367688,1000,0.029157363685326287,-0.022828481750795965,0.5539899100211997,0.25111329925875525,True,0.0011,0.09,0.07,0.07,11,23
0.587147273706526,0.22678481750795929,0.161707,0.838293,1000,0.029357363685326376,-0.022678481750795954,0.5577899100211996,0.24946329925875524,True,0.0011,0.09,0.07,0.08,11,24
0.562747273706526,0.2312848175079593,0.167736,0.832264,1000,0.028137363685326378,-0.02312848175079593,0.5346099100211996,0.2544132992587552,True,0.0012,0.0828,0.06,0.06,11,25
0.566747273706526,0.2297848175079593,0.1661905,0.8338095,1000,0.028337363685326356,-0.022978481750795948,0.5384099100211996,0.25276329925875524,True,0.0012,0.0828,0.06,0.07,11,26
0.570747273706526,0.2282848175079593,0.164651,0.835349,1000,0.028537363685326333,-0.022828481750795965,0.5422099100211997,0.25111329925875525,True,0.0012,0.0828,0.06,0.08,11,27
0.565747273706526,0.2297848175079593,0.16630575,0.83369425,1000,0.02828736368532636,-0.022978481750795948,0.5374599100211996,0.25276329925875524,True,0.0012,0.0828,0.07,0.06,11,28
0.569747273706526,0.2282848175079593,0.1647655,0.8352345,1000,0.02848736368532634,-0.022828481750795965,0.5412599100211997,0.25111329925875525,True,0.0012,0.0828,0.07,0.07,11,29
0.573747273706526,0.22678481750795929,0.16323125000000002,0.83676875,1000,0.028687363685326317,-0.022678481750795954,0.5450599100211997,0.24946329925875524,True,0.0012,0.0828,0.07,0.08,11,30
0.567147273706526,0.2312848175079593,0.1672256,0.8327744,1000,0.028357363685326376,-0.02312848175079593,0.5387899100211996,0.2544132992587552,True,0.0012,0.085,0.06,0.06,11,31
