run_id,label,mechanism
0,Q1_A_independent,gravity_nbody
0,Q1_A_independent,gravity_nbody
2,Q2_vacuum_closed,gravity_nbody
2,Q2_vacuum_closed,gravity_nbody
4,Q3_continuous,gravity_nbody
4,Q3_continuous,gravity_nbody
7,Q4_2D,gravity_nbody
7,Q4_2D,gravity_nbody
11,Q5_infinite,gravity_nbody
11,Q5_infinite,gravity_nbody
14,Q6_flat,calibration
14,Q6_flat,calibration
17,Q7_softWrap,gravity_nbody
17,Q7_softWrap,gravity_nbody
20,Q8_none,meaning_experiment
20,Q8_none,meaning_experiment
23,Q9_absolute,gravity_nbody
23,Q9_absolute,gravity_nbody
25,Q10_closed,gravity_nbody
25,Q10_closed,gravity_nbody
27,Q11_create,gravity_nbody
27,Q11_create,gravity_nbody
